id,iso2,iso1_3n,iso1_3c,iso1_2c,iso2_uid,admin,admin0,admin1,admin2,admin3,level,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk,nameid
CLCO13,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Punitaqui,,Municipality,7.8086557,11595.854,1788.8533,0.15426663,-71.333015,-30.945915,72.716888,57.843372,475.49255,"Coquimbo, Chile"
CLCO14,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Rio Hurtado,,Municipality,1.358891,4053.572,800.77631,0.19754831,-70.653816,-30.430347,207.69386,160.60043,674.98828,"Coquimbo, Chile"
CLCO15,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Salamanca,,Municipality,5.7411609,27172.916,3594.3882,0.13227834,-70.661392,-31.893301,381.10275,246.09605,662.18671,"Coquimbo, Chile"
CLCO16,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Vicuna,,Municipality,2.9023452,29577.799,3707.3799,0.12534334,-70.382324,-29.891956,329.92758,286.84784,884.27283,"Coquimbo, Chile"
CLCO2,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Canela,,Municipality,2.5382164,7599.4199,1411.5466,0.185744,-71.394447,-31.401569,106.93215,53.11557,485.39404,"Coquimbo, Chile"
CLCO3,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Combarbala,,Municipality,3.5387213,11062.043,2118.0425,0.19146937,-70.965858,-31.146473,181.02692,126.3791,353.79303,"Coquimbo, Chile"
CLCO4,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Coquimbo,,Municipality,146.99631,284290.88,30994.742,0.10902476,-71.358856,-30.228188,43.042332,26.861973,173.25142,"Coquimbo, Chile"
CLCO6,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Illapel,,Municipality,9.1072006,32685.742,4648.8384,0.14222832,-70.970741,-31.549143,289.26538,169.80199,478.20975,"Coquimbo, Chile"
CLCO7,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,La Higuera,,Municipality,0.75071526,4186.7393,495.57492,0.11836775,-70.902039,-29.375298,168.9982,125.98408,566.82202,"Coquimbo, Chile"
CLCO8,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,La Serena,,Municipality,113.89572,291117.47,34021.711,0.11686592,-71.06044,-29.788916,72.676865,54.116856,302.30118,"Coquimbo, Chile"
CLCO9,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Los Vilos,,Municipality,7.5343904,19212.695,2446.76,0.12735121,-71.303986,-31.977982,125.00745,52.046352,214.25844,"Coquimbo, Chile"
CLLI1,LI,152,CHL,CL,CL-LI,2,Chile,Ohiggins,Chepica,,Municipality,20.272144,13724.241,2103.697,0.1532833,-71.360718,-34.792145,52.17915,30.809441,179.42584,"OHiggins, Chile"
